Koordinatensystem : Lambert konform konisch
Rechtswert        : 4020500 Meter
Hochwert          : 2306500 Meter
Hoehenlage        : 822 Meter ueber NN
Erstellung des Datensatzes im Mai 2016

Art des TRY       : extremer Sommer
Bezugszeitraum    : 2031-2060
Datenbasis 1      : Beobachtungsdaten Zeitraum 1995-2012
Datenbasis 2      : Klimasimulationen Zeitraum 1971-2000 (Basis RCP-historical / CORDEX-Europa Laeufe)
Datenbasis 3      : Klimasimulationen Zeitraum 2031-2060 (Basis RCP-4.5 und RCP-8.5 / CORDEX-Europa Laeufe)

Format: (i7,1x,i7,1x,i2,1x,i2,1x,i2,1x,f5.1,1x,i4,1x,3i,1x,f4.1,1x,i1,1x,f4.1,1x,i3,1x,i4,1x,i4,1x,i3,1x,i4,2x,i1)

Reihenfolge der Parameter:
RW Rechtswert                                                    [m]       {3670500;3671500..4389500}
HW Hochwert                                                      [m]       {2242500;2243500..3179500}
MM Monat                                                                   {1..12}
DD Tag                                                                     {1..28,30,31}
HH Stunde (MEZ)                                                            {1..24}
t  Lufttemperatur in 2m Hoehe ueber Grund                        [GradC]
p  Luftdruck in Standorthoehe                                    [hPa]
WR Windrichtung in 10 m Hoehe ueber Grund                        [Grad]    {0..360;999}
WG Windgeschwindigkeit in 10 m Hoehe ueber Grund                 [m/s]
N  Bedeckungsgrad                                                [Achtel]  {0..8;9}
x  Wasserdampfgehalt, Mischungsverhaeltnis                       [g/kg]
RF Relative Feuchte in 2 m Hoehe ueber Grund                     [Prozent] {1..100}
B  Direkte Sonnenbestrahlungsstaerke (horiz. Ebene)              [W/m^2]   abwaerts gerichtet: positiv
D  Diffuse Sonnenbetrahlungsstaerke (horiz. Ebene)               [W/m^2]   abwaerts gerichtet: positiv
A  Bestrahlungsstaerke d. atm. Waermestrahlung (horiz. Ebene)    [W/m^2]   abwaerts gerichtet: positiv
E  Bestrahlungsstaerke d. terr. Waermestrahlung                  [W/m^2]   aufwaerts gerichtet: negativ
IL Qualitaetsbit bezueglich der Auswahlkriterien                           {0;1;2;3;4}


     RW      HW MM DD HH     t    p  WR   WG N    x  RF    B    D   A    E IL
*** 
4020500 2306500  1  1  1  -2.3  928 133  1.5 6  3.1  88    0    0 242 -299  2
4020500 2306500  1  1  2  -3.5  928 122  1.5 5  2.9  89    0    0 246 -295  2
4020500 2306500  1  1  3  -4.4  928 129  1.7 6  2.7  90    0    0 242 -289  2
4020500 2306500  1  1  4  -5.5  928 146  1.6 5  2.6  92    0    0 243 -286  2
4020500 2306500  1  1  5  -7.0  927 156  1.3 5  2.4  92    0    0 248 -284  2
4020500 2306500  1  1  6  -8.2  926 140  1.1 2  2.3  94    0    0 219 -278  2
4020500 2306500  1  1  7 -11.5  925 190  0.1 3  1.8  91    0    0 196 -266  2
4020500 2306500  1  1  8  -9.6  925 150  1.6 3  1.7  92    0    0 197 -255  2
4020500 2306500  1  1  9 -13.3  925 150  1.5 3  1.6  92    1   19 194 -250  2
4020500 2306500  1  1 10 -10.9  924 140  1.3 1  1.5  91    6   66 182 -251  2
4020500 2306500  1  1 11  -9.6  925 150  1.1 0  1.7  90    6  102 172 -263  2
4020500 2306500  1  1 12  -8.6  924 140  1.8 1  1.8  85    9  132 174 -283  2
4020500 2306500  1  1 13  -8.5  925 150  1.1 3  1.8  82  105  182 188 -299  2
4020500 2306500  1  1 14  -6.7  924 360  0.1 3  1.9  83  113  168 199 -304  2
4020500 2306500  1  1 15  -6.8  924 270  0.8 3  2.1  84   55  125 200 -302  2
4020500 2306500  1  1 16 -10.7  924 160  1.2 5  1.8  85    0   32 201 -297  2
4020500 2306500  1  1 17 -10.1  923 160  2.0 4  1.6  87    0    6 198 -284  2
4020500 2306500  1  1 18  -7.9  924 160  1.7 3  1.8  86    0    0 194 -268  2
4020500 2306500  1  1 19  -8.1  924 160  1.6 2  1.9  84    0    0 190 -257  2
4020500 2306500  1  1 20  -8.7  924 150  2.2 2  1.8  82    0    0 185 -250  2
4020500 2306500  1  1 21 -10.4  923 150  2.1 5  1.7  82    0    0 192 -246  2
4020500 2306500  1  1 22 -12.8  923 150  1.8 1  1.4  84    0    0 183 -242  2
4020500 2306500  1  1 23 -15.1  922 171  1.3 1  1.2  87    0    0 165 -240  2
4020500 2306500  1  1 24 -17.5  920 200  1.1 0  1.0  86    0    0 155 -238  2
4020500 2306500  1  2  1 -16.8  920 150  0.8 2  0.9  87    0    0 157 -237  2
4020500 2306500  1  2  2 -17.1  919 120  0.3 1  1.0  89    0    0 161 -236  2
4020500 2306500  1  2  3 -18.5  918 130  0.9 8  0.9  88    0    0 182 -235  2
4020500 2306500  1  2  4 -19.6  918 140  1.1 2  0.8  86    0    0 184 -234  2
4020500 2306500  1  2  5 -20.4  918 150  0.9 2  0.7  84    0    0 158 -234  2
4020500 2306500  1  2  6 -20.2  917 140  0.7 0  0.7  85    0    0 150 -233  2
4020500 2306500  1  2  7 -20.3  917 140  0.9 0  0.7  86    0    0 142 -232  2
4020500 2306500  1  2  8 -19.8  917 140  0.3 1  0.7  86    0    0 145 -231  2
4020500 2306500  1  2  9 -20.9  916 130  0.5 1  0.7  85   13   13 148 -231  2
4020500 2306500  1  2 10 -19.3  916 140  1.1 0  0.7  84  127   26 143 -235  2
4020500 2306500  1  2 11 -16.0  917 140  0.9 0  0.9  86  227   46 144 -249  2
4020500 2306500  1  2 12 -14.9  918 150  0.9 0  1.1  85  189   47 150 -271  2
4020500 2306500  1  2 13 -14.1  917 150  0.7 0  1.1  84   39  120 151 -295  2
4020500 2306500  1  2 14 -12.3  917 150  0.6 0  1.2  82   18  103 155 -308  2
4020500 2306500  1  2 15 -11.1  916 160  0.9 0  1.4  80   16   76 159 -309  2
4020500 2306500  1  2 16 -16.5  915 160  1.2 1  1.2  83   18   37 158 -302  2
4020500 2306500  1  2 17 -16.5  914 150  1.1 3  1.0  82    1    9 164 -295  2
4020500 2306500  1  2 18 -15.2  914 150  1.1 2  1.0  83    0    0 170 -291  2
4020500 2306500  1  2 19 -17.7  914 150  0.9 0  1.0  86    0    0 156 -291  2
4020500 2306500  1  2 20 -17.5  912 150  1.0 1  0.9  86    0    0 150 -291  2
4020500 2306500  1  2 21 -17.2  912 160  0.6 1  0.9  87    0    0 156 -293  2
4020500 2306500  1  2 22 -15.0  912 150  0.7 3  1.1  88    0    0 169 -295  2
4020500 2306500  1  2 23 -15.4  912 150  0.4 3  1.1  87    0    0 181 -297  2
4020500 2306500  1  2 24 -15.0  911 169  0.0 0  1.1  85    0    0 169 -300  2
4020500 2306500  1  3  1 -14.1  912 150  0.2 5  1.2  86    0    0 180 -303  2
4020500 2306500  1  3  2 -12.2  912 230  0.2 6  1.3  87    0    0 213 -307  2
4020500 2306500  1  3  3 -10.1  912 150  0.2 4  1.6  87    0    0 216 -309  2
4020500 2306500  1  3  4 -11.0  912 190  0.2 5  1.7  88    0    0 215 -309  2
4020500 2306500  1  3  5  -8.4  912 138  0.9 5  1.8  87    0    0 224 -309  2
4020500 2306500  1  3  6  -8.1  912 159  0.1 6  2.0  87    0    0 233 -310  2
4020500 2306500  1  3  7  -7.5  911  98  0.0 6  2.0  87    0    0 241 -311  2
4020500 2306500  1  3  8  -8.4  911 108  0.0 6  2.1  89    0    0 240 -312  2
4020500 2306500  1  3  9 -11.5  911 150  0.0 6  1.7  88    9   16 234 -313  2
4020500 2306500  1  3 10  -8.3  910 143  0.0 6  1.7  86   32   56 234 -316  2
4020500 2306500  1  3 11  -6.7  911 170  0.0 6  2.0  83  112   77 240 -321  2
4020500 2306500  1  3 12  -3.7  911 170  0.1 7  2.2  78   82  117 250 -326  2
4020500 2306500  1  3 13  -0.5  911 200  0.1 8  2.6  73    4  109 267 -329  2
4020500 2306500  1  3 14   1.1  911 160  0.4 7  2.8  66   28  115 274 -330  2
4020500 2306500  1  3 15  -1.0  911 144  0.8 5  2.8  66   66   80 261 -330  2
4020500 2306500  1  3 16  -3.6  910 121  0.4 5  2.6  73   59   37 246 -328  2
4020500 2306500  1  3 17  -2.4  910 127  0.3 7  2.7  78    0    4 252 -324  2
4020500 2306500  1  3 18  -3.8  910 160  0.1 7  2.8  83    0    0 261 -322  2
4020500 2306500  1  3 19  -4.8  909 150  0.4 4  2.6  85    0    0 243 -320  2
4020500 2306500  1  3 20  -5.2  910 115  0.1 3  2.5  84    0    0 222 -318  2
4020500 2306500  1  3 21  -5.9  910 190  0.3 1  2.4  88    0    0 204 -317  2
4020500 2306500  1  3 22  -7.9  910 124  0.2 0  2.3  90    0    0 187 -316  2
4020500 2306500  1  3 23  -7.3  910 144  0.1 0  2.1  89    0    0 181 -315  2
4020500 2306500  1  3 24  -6.1  910 150  0.2 3  2.3  90    0    0 198 -316  2
4020500 2306500  1  4  1  -5.6  911 139  0.1 2  2.4  90    0    0 209 -316  2
4020500 2306500  1  4  2  -5.0  911 144  0.1 1  2.5  88    0    0 202 -317  2
4020500 2306500  1  4  3  -5.5  911  40  0.2 0  2.5  86    0    0 198 -317  2
4020500 2306500  1  4  4  -6.1  912 127  0.1 0  2.3  84    0    0 193 -317  2
4020500 2306500  1  4  5  -5.2  912 152  0.2 0  2.4  87    0    0 196 -317  2
4020500 2306500  1  4  6  -4.3  913 250  0.2 5  2.8  93    0    0 219 -317  2
4020500 2306500  1  4  7   1.2  914 170  0.3 5  3.2  86    0    0 247 -318  2
4020500 2306500  1  4  8   2.1  916 180  0.2 6  3.4  72    0    0 260 -318  2
4020500 2306500  1  4  9   3.6  917 150  0.3 6  3.5  68    1   14 267 -318  2
4020500 2306500  1  4 10   5.7  918 150  1.8 7  3.4  59   56   56 275 -319  2
4020500 2306500  1  4 11   4.4  919 170  3.8 2  3.1  51  139   75 256 -321  2
4020500 2306500  1  4 12   3.0  918 138  0.3 2  3.0  56  143  108 227 -324  2
4020500 2306500  1  4 13   4.3  918 330  0.2 4  3.2  59  110  127 236 -328  2
4020500 2306500  1  4 14  10.2  918 150  1.8 3  3.1  44  121  109 250 -330  2
4020500 2306500  1  4 15   7.6  919 150  3.1 6  3.0  38   45   91 265 -330  2
4020500 2306500  1  4 16   3.3  919  75  0.1 7  3.2  52    7   42 277 -329  2
4020500 2306500  1  4 17   0.6  918 170  0.1 6  3.3  69    2   10 269 -326  2
4020500 2306500  1  4 18  -0.8  918   0  0.0 5  3.2  76    0    0 252 -324  2
4020500 2306500  1  4 19  -0.8  918 150  0.1 4  3.1  80    0    0 238 -323  2
4020500 2306500  1  4 20   1.3  918 190  0.2 4  3.3  77    0    0 235 -323  2
4020500 2306500  1  4 21   4.0  920 140  1.5 5  3.4  67    0    0 246 -322  2
4020500 2306500  1  4 22   3.5  920 170  0.7 6  3.5  64    0    0 261 -322  2
4020500 2306500  1  4 23   2.4  919  30  0.9 5  3.5  67    0    0 259 -322  2
4020500 2306500  1  4 24  -0.1  919 130  1.0 5  3.1  69    0    0 245 -323  2
4020500 2306500  1  5  1  -2.7  918 330  0.1 5  2.8  76    0    0 237 -323  2
4020500 2306500  1  5  2  -3.9  918 250  0.1 6  2.7  82    0    0 237 -323  2
4020500 2306500  1  5  3  -1.9  919 140  0.1 4  2.8  83    0    0 231 -324  2
4020500 2306500  1  5  4  -2.0  920 160  0.5 4  3.0  83    0    0 221 -325  2
4020500 2306500  1  5  5  -1.5  919  50  0.3 5  3.1  84    0    0 227 -324  2
4020500 2306500  1  5  6  -1.5  919  60  0.1 7  3.2  85    0    0 248 -325  2
4020500 2306500  1  5  7  -2.3  918  40  0.1 7  3.1  86    0    0 263 -326  2
4020500 2306500  1  5  8  -1.7  918 190  0.2 7  3.1  87    0    0 263 -329  2
4020500 2306500  1  5  9  -1.5  918 180  0.0 7  3.3  88    4   22 264 -330  2
4020500 2306500  1  5 10  -1.2  918 100  0.1 7  3.3  88    9   70 262 -330  2
4020500 2306500  1  5 11   0.8  919 100  0.0 7  3.4  82    1   83 263 -330  2
4020500 2306500  1  5 12   1.4  918 138  0.1 8  3.5  78    3  112 280 -330  2
4020500 2306500  1  5 13   2.4  919  60  0.1 7  3.7  78    2  112 284 -331  2
4020500 2306500  1  5 14   1.6  918 290  0.8 8  3.8  79    0   70 288 -331  2
4020500 2306500  1  5 15   3.2  918  50  1.9 7  3.8  77    2   80 290 -331  2
4020500 2306500  1  5 16   1.7  918 170  0.9 8  3.8  75   23   72 291 -330  2
4020500 2306500  1  5 17   2.2  918 150  1.8 8  3.7  76    0    6 303 -330  2
4020500 2306500  1  5 18   3.0  918 170  2.1 8  3.7  74    0    0 306 -328  2
4020500 2306500  1  5 19   2.0  918 230  0.4 8  3.8  75    0    0 307 -328  2
4020500 2306500  1  5 20   0.6  917 151  0.8 8  3.7  81    0    0 305 -330  2
4020500 2306500  1  5 21   0.4  916 117  0.1 8  3.7  85    0    0 304 -330  2
4020500 2306500  1  5 22   0.9  916 110  0.2 7  3.8  86    0    0 297 -330  2
4020500 2306500  1  5 23   0.3  915 100  0.7 7  3.8  87    0    0 292 -328  2
4020500 2306500  1  5 24   0.1  915  79  0.2 7  3.7  88    0    0 292 -325  2
4020500 2306500  1  6  1   0.1  913 150  0.1 8  3.8  89    0    0 299 -324  2
4020500 2306500  1  6  2   0.6  913 140  1.5 8  3.9  89    0    0 307 -324  2
4020500 2306500  1  6  3   0.5  913 260  0.7 8  3.9  90    0    0 308 -324  2
4020500 2306500  1  6  4   0.2  913 210  0.5 8  4.0  92    0    0 309 -325  2
4020500 2306500  1  6  5   0.4  913 120  0.3 8  4.1  94    0    0 309 -327  2
4020500 2306500  1  6  6   0.3  913 180  0.4 8  4.1  95    0    0 310 -330  2
4020500 2306500  1  6  7   1.1  914 150  1.6 8  4.2  95    0    0 312 -331  2
4020500 2306500  1  6  8   1.2  914 150  2.6 8  4.3  94    0    0 313 -331  2
4020500 2306500  1  6  9   1.2  915 150  1.5 8  4.3  94    0   13 313 -331  2
4020500 2306500  1  6 10   1.4  915 140  1.2 8  4.4  95    0   41 313 -331  2
4020500 2306500  1  6 11   1.8  916 150  1.2 8  4.5  94    0   54 314 -331  2
4020500 2306500  1  6 12   2.0  918 150  1.5 7  4.5  94    0   54 309 -331  2
4020500 2306500  1  6 13   3.8  918  80  1.1 8  4.5  88    0   45 310 -331  2
4020500 2306500  1  6 14   3.0  919  50  2.2 8  4.5  83    0   38 317 -331  2
4020500 2306500  1  6 15   4.0  920  40  2.2 8  4.3  81    0   29 317 -331  2
4020500 2306500  1  6 16   2.2  921 160  2.2 8  4.3  83    0   16 316 -331  2
4020500 2306500  1  6 17   1.7  921 130  3.0 8  4.3  90    0    3 312 -331  2
4020500 2306500  1  6 18   3.5  922  90  1.7 8  4.2  84    0    0 315 -331  2
4020500 2306500  1  6 19   1.3  923 150  2.4 8  4.2  85    0    0 314 -331  2
4020500 2306500  1  6 20   1.2  924 140  2.4 8  4.2  93    0    0 311 -331  2
4020500 2306500  1  6 21   1.0  924 160  0.9 8  4.2  94    0    0 311 -331  2
4020500 2306500  1  6 22   1.2  924 160  1.3 6  4.2  94    0    0 299 -331  2
4020500 2306500  1  6 23   1.6  924 170  1.3 6  4.4  95    0    0 289 -331  2
4020500 2306500  1  6 24   1.1  924 180  0.7 4  4.3  95    0    0 277 -331  2
4020500 2306500  1  7  1   1.1  924 150  0.1 5  4.3  95    0    0 271 -331  2
4020500 2306500  1  7  2   1.1  924 170  0.3 6  4.3  95    0    0 282 -331  2
4020500 2306500  1  7  3   1.5  924 150  0.1 6  4.4  95    0    0 289 -333  2
4020500 2306500  1  7  4   1.2  923 240  0.0 6  4.4  95    0    0 289 -338  2
4020500 2306500  1  7  5   2.0  922 160  0.7 6  4.5  96    0    0 290 -341  2
4020500 2306500  1  7  6   2.7  921 150  0.3 8  4.7  95    0    0 304 -341  2
4020500 2306500  1  7  7   2.0  921 160  0.0 7  4.7  94    0    0 310 -341  2
4020500 2306500  1  7  8   2.0  919 140  0.2 8  4.6  95    0    0 310 -342  2
4020500 2306500  1  7  9   2.9  919 170  0.4 7  4.8  96    0   11 312 -345  2
4020500 2306500  1  7 10   2.5  920 140  0.5 8  4.9  96    0   29 314 -348  2
4020500 2306500  1  7 11   3.7  919 150  2.2 8  5.0  96   30   64 320 -350  2
4020500 2306500  1  7 12   3.0  920 261  1.2 7  5.1  95    0   86 313 -352  2
4020500 2306500  1  7 13   5.9  921 300  4.7 8  4.9  85    0   54 313 -352  2
4020500 2306500  1  7 14   5.0  922 235  2.2 8  4.7  76    0   38 318 -347  2
4020500 2306500  1  7 15   6.1  923 180  3.4 7  4.5  72    0   34 312 -344  2
4020500 2306500  1  7 16   5.2  923 204  2.8 6  4.4  72    0   26 302 -342  2
4020500 2306500  1  7 17   5.4  925 184  3.3 7  4.5  74    0    8 300 -339  2
4020500 2306500  1  7 18   4.4  926  70  3.5 8  4.4  74    0    0 306 -335  2
4020500 2306500  1  7 19   2.7  926 343  0.7 7  4.3  80    0    0 300 -332  2
4020500 2306500  1  7 20   2.6  927 180  1.7 7  4.2  83    0    0 292 -331  2
4020500 2306500  1  7 21   2.0  928 341  2.4 8  4.2  86    0    0 296 -331  2
4020500 2306500  1  7 22   2.0  928 203  1.5 3  4.3  91    0    0 276 -330  2
4020500 2306500  1  7 23   0.6  927 190  2.5 3  4.1  89    0    0 250 -330  2
4020500 2306500  1  7 24  -0.8  927 160  0.4 2  3.8  92    0    0 239 -330  2
4020500 2306500  1  8  1  -0.4  928 160  1.1 1  3.7  94    0    0 228 -329  2
4020500 2306500  1  8  2  -1.2  927 210  1.1 3  3.6  93    0    0 231 -329  2
4020500 2306500  1  8  3  -1.8  927 190  1.0 2  3.4  91    0    0 233 -329  2
4020500 2306500  1  8  4  -2.7  927 201  0.5 0  3.2  91    0    0 215 -328  2
4020500 2306500  1  8  5  -2.4  927 180  1.5 2  3.2  92    0    0 213 -328  2
4020500 2306500  1  8  6  -3.3  928 140  0.4 1  3.0  91    0    0 217 -327  2
