Koordinatensystem : Lambert konform konisch
Rechtswert        : 4020500 Meter
Hochwert          : 2306500 Meter
Hoehenlage        : 822 Meter ueber NN
Erstellung des Datensatzes im Mai 2016

Art des TRY       : extremer Winter
Bezugszeitraum    : 2031-2060
Datenbasis 1      : Beobachtungsdaten Zeitraum 1995-2012
Datenbasis 2      : Klimasimulationen Zeitraum 1971-2000 (Basis RCP-historical / CORDEX-Europa Laeufe)
Datenbasis 3      : Klimasimulationen Zeitraum 2031-2060 (Basis RCP-4.5 und RCP-8.5 / CORDEX-Europa Laeufe)

Format: (i7,1x,i7,1x,i2,1x,i2,1x,i2,1x,f5.1,1x,i4,1x,3i,1x,f4.1,1x,i1,1x,f4.1,1x,i3,1x,i4,1x,i4,1x,i3,1x,i4,2x,i1)

Reihenfolge der Parameter:
RW Rechtswert                                                    [m]       {3670500;3671500..4389500}
HW Hochwert                                                      [m]       {2242500;2243500..3179500}
MM Monat                                                                   {1..12}
DD Tag                                                                     {1..28,30,31}
HH Stunde (MEZ)                                                            {1..24}
t  Lufttemperatur in 2m Hoehe ueber Grund                        [GradC]
p  Luftdruck in Standorthoehe                                    [hPa]
WR Windrichtung in 10 m Hoehe ueber Grund                        [Grad]    {0..360;999}
WG Windgeschwindigkeit in 10 m Hoehe ueber Grund                 [m/s]
N  Bedeckungsgrad                                                [Achtel]  {0..8;9}
x  Wasserdampfgehalt, Mischungsverhaeltnis                       [g/kg]
RF Relative Feuchte in 2 m Hoehe ueber Grund                     [Prozent] {1..100}
B  Direkte Sonnenbestrahlungsstaerke (horiz. Ebene)              [W/m^2]   abwaerts gerichtet: positiv
D  Diffuse Sonnenbetrahlungsstaerke (horiz. Ebene)               [W/m^2]   abwaerts gerichtet: positiv
A  Bestrahlungsstaerke d. atm. Waermestrahlung (horiz. Ebene)    [W/m^2]   abwaerts gerichtet: positiv
E  Bestrahlungsstaerke d. terr. Waermestrahlung                  [W/m^2]   aufwaerts gerichtet: negativ
IL Qualitaetsbit bezueglich der Auswahlkriterien                           {0;1;2;3;4}


     RW      HW MM DD HH     t    p  WR   WG N    x  RF    B    D   A    E IL
*** 
4020500 2306500  1  1  1  -0.7  931 149  0.9 5  3.7  92    0    0 299 -330  2
4020500 2306500  1  1  2  -0.1  931 148  1.2 7  3.8  92    0    0 293 -330  2
4020500 2306500  1  1  3   0.6  932 150  1.5 8  4.0  93    0    0 296 -331  2
4020500 2306500  1  1  4   0.7  932 152  1.5 8  4.1  94    0    0 306 -331  2
4020500 2306500  1  1  5   0.8  931 157  1.4 7  4.1  94    0    0 308 -331  2
4020500 2306500  1  1  6   0.7  931 150  0.9 6  4.2  95    0    0 297 -331  2
4020500 2306500  1  1  7   0.7  931 180  1.2 7  4.1  95    0    0 291 -331  2
4020500 2306500  1  1  8   0.5  932 170  1.4 8  4.1  94    0    0 303 -331  2
4020500 2306500  1  1  9   0.9  932 150  1.7 8  4.1  95    0   13 312 -331  2
4020500 2306500  1  1 10   1.8  932 150  2.2 7  4.3  95   21   78 308 -331  2
4020500 2306500  1  1 11   1.4  932 220  1.6 7  4.4  95    5   92 303 -331  2
4020500 2306500  1  1 12   1.9  932 150  1.0 7  4.4  95   13  136 303 -331  2
4020500 2306500  1  1 13   2.6  931 120  0.5 8  4.6  95    8  129 310 -331  2
4020500 2306500  1  1 14   2.8  931 130  0.3 8  4.7  93    0   61 317 -331  2
4020500 2306500  1  1 15   2.7  931   0  0.1 8  4.6  91    0   47 316 -331  2
4020500 2306500  1  1 16   2.1  930 150  1.7 4  4.5  92    0   23 289 -331  2
4020500 2306500  1  1 17   0.7  930 150  2.2 4  4.3  93    0    2 258 -331  2
4020500 2306500  1  1 18   1.1  930 140  3.4 4  4.1  93    0    0 253 -330  2
4020500 2306500  1  1 19   2.4  929 150  3.1 8  4.1  88    0    0 281 -331  2
4020500 2306500  1  1 20   1.0  929 170  2.1 7  4.1  87    0    0 302 -331  2
4020500 2306500  1  1 21   1.0  929 150  2.9 7  3.9  89    0    0 293 -331  2
4020500 2306500  1  1 22   1.4  928 140  2.6 7  4.0  89    0    0 293 -331  2
4020500 2306500  1  1 23   2.3  928 160  1.8 7  4.1  88    0    0 296 -331  2
4020500 2306500  1  1 24   1.5  928 247  1.6 7  4.0  85    0    0 295 -331  2
4020500 2306500  1  2  1   0.9  927 150  0.8 8  3.9  86    0    0 300 -331  2
4020500 2306500  1  2  2   2.5  927 130  1.5 8  4.0  86    0    0 308 -331  2
4020500 2306500  1  2  3   1.5  926 160  0.4 8  4.1  87    0    0 309 -331  2
4020500 2306500  1  2  4   2.0  926 130  1.4 8  4.2  90    0    0 308 -331  2
4020500 2306500  1  2  5   2.0  925 181  1.7 7  4.4  92    0    0 304 -331  2
4020500 2306500  1  2  6   2.4  925 160  2.3 8  4.6  94    0    0 306 -331  2
4020500 2306500  1  2  7   1.9  924 160  1.9 8  4.6  96    0    0 313 -331  2
