Koordinatensystem : Lambert konform konisch
Rechtswert        : 4197500 Meter
Hochwert          : 2677500 Meter
Hoehenlage        : 312 Meter ueber NN
Erstellung des Datensatzes im Mai 2016

Art des TRY       : mittleres Jahr
Bezugszeitraum    : 1995-2012
Datenbasis        : Beobachtungsdaten Zeitraum 1995-2012

Format: (i7,1x,i7,1x,i2,1x,i2,1x,i2,1x,f5.1,1x,i4,1x,3i,1x,f4.1,1x,i1,1x,f4.1,1x,i3,1x,i4,1x,i4,1x,i3,1x,i4,2x,i1)

Reihenfolge der Parameter:
RW Rechtswert                                                    [m]       {3670500;3671500..4389500}
HW Hochwert                                                      [m]       {2242500;2243500..3179500}
MM Monat                                                                   {1..12}
DD Tag                                                                     {1..28,30,31}
HH Stunde (MEZ)                                                            {1..24}
t  Lufttemperatur in 2m Hoehe ueber Grund                        [GradC]
p  Luftdruck in Standorthoehe                                    [hPa]
WR Windrichtung in 10 m Hoehe ueber Grund                        [Grad]    {0..360;999}
WG Windgeschwindigkeit in 10 m Hoehe ueber Grund                 [m/s]
N  Bedeckungsgrad                                                [Achtel]  {0..8;9}
x  Wasserdampfgehalt, Mischungsverhaeltnis                       [g/kg]
RF Relative Feuchte in 2 m Hoehe ueber Grund                     [Prozent] {1..100}
B  Direkte Sonnenbestrahlungsstaerke (horiz. Ebene)              [W/m^2]   abwaerts gerichtet: positiv
D  Diffuse Sonnenbetrahlungsstaerke (horiz. Ebene)               [W/m^2]   abwaerts gerichtet: positiv
A  Bestrahlungsstaerke d. atm. Waermestrahlung (horiz. Ebene)    [W/m^2]   abwaerts gerichtet: positiv
E  Bestrahlungsstaerke d. terr. Waermestrahlung                  [W/m^2]   aufwaerts gerichtet: negativ
IL Qualitaetsbit bezueglich der Auswahlkriterien                           {0;1;2;3;4}


     RW      HW MM DD HH     t    p  WR   WG N    x  RF    B    D   A    E IL
*** 
4197500 2677500  1  1  1  -3.2  980 118  2.7 3  2.8  86    0    0 193 -282  4
4197500 2677500  1  1  2  -4.1  980 149  2.0 1  2.5  83    0    0 189 -281  4
4197500 2677500  1  1  3  -4.8  979 168  1.8 0  2.2  80    0    0 186 -280  4
4197500 2677500  1  1  4  -4.8  979 165  1.7 0  2.1  76    0    0 184 -279  4
4197500 2677500  1  1  5  -4.6  978 163  2.1 1  2.0  72    0    0 187 -278  4
4197500 2677500  1  1  6  -4.2  977 178  2.1 2  1.9  67    0    0 195 -277  4
4197500 2677500  1  1  7  -4.2  976 159  2.8 3  1.8  61    0    0 206 -277  4
4197500 2677500  1  1  8  -3.1  976 174  3.1 4  1.8  60    0    0 219 -277  4
4197500 2677500  1  1  9  -2.5  975 177  4.8 5  1.9  60    0    0 233 -277  4
4197500 2677500  1  1 10  -1.6  974 176  4.8 7  1.9  57    1   33 251 -280  4
4197500 2677500  1  1 11  -0.7  973  89  6.3 5  1.9  52   61   77 251 -285  4
4197500 2677500  1  1 12   0.6  973 108  5.2 6  1.8  46   70  102 249 -293  4
4197500 2677500  1  1 13   1.2  972 192  4.2 5  1.7  40   58  111 250 -300  4
4197500 2677500  1  1 14   1.6  972 166  3.6 5  1.7  38   23   97 246 -304  4
4197500 2677500  1  1 15   1.5  971 159  2.7 5  1.8  40   28   70 245 -306  4
4197500 2677500  1  1 16   1.4  970 165  3.6 7  1.9  43    1   24 258 -305  4
4197500 2677500  1  1 17   1.9  970 183  3.0 8  1.9  44    0    0 284 -306  4
4197500 2677500  1  1 18   1.4  969 184  4.9 8  2.1  46    0    0 296 -308  4
4197500 2677500  1  1 19   1.7  969 185  3.2 7  2.1  48    0    0 283 -309  4
4197500 2677500  1  1 20   0.9  969 154  3.7 7  2.2  51    0    0 265 -309  4
4197500 2677500  1  1 21   1.1  969 166  3.6 8  2.5  60    0    0 283 -312  4
4197500 2677500  1  1 22   2.3  968 208  4.4 8  2.9  65    0    0 304 -314  4
4197500 2677500  1  1 23   2.8  968 193  3.7 8  2.8  59    0    0 308 -316  4
4197500 2677500  1  1 24   3.1  967 216  5.0 8  2.7  55    0    0 311 -316  4
4197500 2677500  1  2  1   2.7  967 232  0.7 8  2.9  60    0    0 313 -320  4
4197500 2677500  1  2  2   2.8  968 181  3.0 8  3.0  61    0    0 313 -325  4
4197500 2677500  1  2  3   2.6  967 186  4.3 7  2.9  61    0    0 306 -326  4
4197500 2677500  1  2  4   2.5  967 151  2.7 7  3.1  64    0    0 299 -325  4
4197500 2677500  1  2  5   3.5  967 139  2.0 7  3.2  66    0    0 302 -323  4
4197500 2677500  1  2  6   3.9  966 187  5.1 7  3.6  70    0    0 304 -324  4
4197500 2677500  1  2  7   4.4  965 200  5.0 7  3.8  71    0    0 305 -328  4
4197500 2677500  1  2  8   3.0  965 201  6.0 7  3.7  71    0    0 303 -333  4
4197500 2677500  1  2  9   3.2  965 197  3.5 7  3.7  74    0    6 302 -335  4
4197500 2677500  1  2 10   3.7  965 173  2.0 7  3.8  74    0   27 302 -337  4
4197500 2677500  1  2 11   3.5  965 214  1.2 7  3.9  76    0   35 302 -339  4
4197500 2677500  1  2 12   4.0  966 174  2.5 7  4.3  82    0   41 301 -339  4
4197500 2677500  1  2 13   6.0  967 196  3.9 8  4.7  83    0   48 314 -337  4
4197500 2677500  1  2 14   6.2  966 198  5.9 7  5.1  83    0   67 318 -339  4
4197500 2677500  1  2 15   6.8  966 205  6.9 6  5.2  82    0   47 300 -340  4
4197500 2677500  1  2 16   6.6  966 193  6.7 7  5.1  80    0   15 301 -337  4
4197500 2677500  1  2 17   5.3  966 186  3.2 7  5.0  82    0    0 310 -333  4
4197500 2677500  1  2 18   5.4  966 177  2.1 8  4.8  83    0    0 316 -330  4
4197500 2677500  1  2 19   4.9  966 187  6.0 7  4.6  81    0    0 315 -329  4
4197500 2677500  1  2 20   4.4  965 210  6.8 7  4.5  81    0    0 305 -329  4
4197500 2677500  1  2 21   4.2  966 203  7.1 7  4.5  83    0    0 304 -329  4
4197500 2677500  1  2 22   4.2  966 193  5.7 5  4.5  84    0    0 292 -328  4
4197500 2677500  1  2 23   5.2  966 213  7.2 4  4.6  82    0    0 276 -328  4
4197500 2677500  1  2 24   4.6  966 202  6.7 5  4.6  81    0    0 275 -328  4
4197500 2677500  1  3  1   3.9  966 191  3.4 4  4.5  83    0    0 269 -329  4
4197500 2677500  1  3  2   3.9  966 181  3.4 5  4.4  84    0    0 270 -330  4
4197500 2677500  1  3  3   4.0  966 194  4.2 6  4.4  83    0    0 282 -329  4
4197500 2677500  1  3  4   5.1  966 171  2.6 8  4.4  80    0    0 302 -329  4
4197500 2677500  1  3  5   5.3  967 198  5.9 8  4.4  77    0    0 315 -328  4
4197500 2677500  1  3  6   5.2  967 208  5.8 8  4.4  77    0    0 314 -326  4
4197500 2677500  1  3  7   5.4  967 190  4.8 7  4.5  77    0    0 308 -326  4
4197500 2677500  1  3  8   5.6  968 220  7.2 7  4.5  77    0    0 303 -327  4
4197500 2677500  1  3  9   5.9  968 219  8.1 7  4.6  76    0    7 302 -328  4
4197500 2677500  1  3 10   5.8  969 220  8.5 7  4.6  76   12   48 302 -329  4
4197500 2677500  1  3 11   5.8  969 228  7.3 5  4.5  75   74   87 288 -332  4
4197500 2677500  1  3 12   7.3  970 229  8.8 4  4.6  72  118  104 275 -335  4
4197500 2677500  1  3 13   7.0  970 229  7.4 5  4.6  71   48  125 279 -336  4
4197500 2677500  1  3 14   6.6  970 238  7.6 7  4.6  72    6   92 294 -337  4
4197500 2677500  1  3 15   6.2  971 249  7.7 5  4.6  74    8   71 293 -335  4
4197500 2677500  1  3 16   5.7  970 250  6.6 6  4.7  77    6   31 287 -333  4
4197500 2677500  1  3 17   5.0  971 240  5.6 6  4.6  79    0    0 290 -330  4
4197500 2677500  1  3 18   4.4  972 231  3.6 5  4.4  80    0    0 282 -326  4
4197500 2677500  1  3 19   4.4  972 241  5.8 6  4.4  81    0    0 280 -322  4
4197500 2677500  1  3 20   4.4  973 240  4.7 7  4.3  80    0    0 289 -321  4
4197500 2677500  1  3 21   2.8  974 232  4.8 6  4.1  80    0    0 285 -321  4
4197500 2677500  1  3 22   3.5  974 239  4.9 5  4.1  82    0    0 273 -320  4
4197500 2677500  1  3 23   2.9  974 231  4.6 4  4.2  84    0    0 264 -320  4
4197500 2677500  1  3 24   2.9  974 233  5.0 4  4.1  85    0    0 259 -321  4
4197500 2677500  1  4  1   2.4  974 222  5.4 2  4.0  84    0    0 249 -322  4
4197500 2677500  1  4  2   1.2  974 222  2.8 2  3.8  85    0    0 235 -322  4
4197500 2677500  1  4  3   1.3  974 204  3.0 1  3.7  86    0    0 226 -322  4
4197500 2677500  1  4  4   1.1  974 200  2.8 1  3.6  83    0    0 221 -322  4
4197500 2677500  1  4  5   1.4  973 189  2.3 2  3.5  81    0    0 223 -323  4
4197500 2677500  1  4  6   1.3  973 151  2.2 2  3.5  80    0    0 225 -325  4
4197500 2677500  1  4  7   1.6  972 157  1.4 3  3.4  78    0    0 225 -325  4
4197500 2677500  1  4  8   2.0  972 167  2.6 5  3.4  76    0    0 241 -324  4
4197500 2677500  1  4  9   2.4  971 179  3.1 6  3.4  73    0    9 262 -325  4
4197500 2677500  1  4 10   2.9  970 149  3.7 7  3.5  73   26   50 279 -327  4
4197500 2677500  1  4 11   4.3  970 160  3.0 4  3.5  69  115   76 264 -330  4
4197500 2677500  1  4 12   5.1  969 170  2.4 5  3.5  64  122  101 251 -333  4
4197500 2677500  1  4 13   5.8  968 180  2.6 6  3.5  60   72  122 275 -335  4
4197500 2677500  1  4 14   7.4  968 170  0.6 7  3.5  55   20  103 297 -336  4
4197500 2677500  1  4 15   7.8  968 170  1.0 6  3.4  51    5   64 300 -336  4
4197500 2677500  1  4 16   7.7  967 190  3.2 7  3.3  49    0   12 300 -336  4
4197500 2677500  1  4 17   7.3  968 202  1.2 7  3.3  49    0    0 308 -335  4
4197500 2677500  1  4 18   7.2  968 121  1.5 8  3.4  51    0    0 318 -334  4
4197500 2677500  1  4 19   6.3  968 160  1.6 8  3.5  55    0    0 324 -335  4
4197500 2677500  1  4 20   6.7  968 201  6.4 7  3.6  58    0    0 318 -335  4
4197500 2677500  1  4 21   6.0  968 211  4.8 8  3.8  62    0    0 319 -335  4
4197500 2677500  1  4 22   6.5  969 218  8.1 8  4.2  69    0    0 326 -337  4
4197500 2677500  1  4 23   6.5  969 226  5.8 8  4.6  72    0    0 326 -338  4
4197500 2677500  1  4 24   6.1  969 229  5.5 8  4.6  74    0    0 326 -337  4
4197500 2677500  1  5  1   6.8  969 226  7.7 8  4.7  75    0    0 326 -335  4
4197500 2677500  1  5  2   6.1  970 237  7.1 7  4.7  75    0    0 319 -334  4
4197500 2677500  1  5  3   5.7  970 230  6.7 7  4.6  76    0    0 310 -333  4
4197500 2677500  1  5  4   5.6  969 221  5.6 4  4.5  75    0    0 293 -331  4
4197500 2677500  1  5  5   5.0  969 229  6.9 2  4.4  76    0    0 268 -332  4
4197500 2677500  1  5  6   5.0  969 220  6.5 2  4.3  77    0    0 259 -331  4
4197500 2677500  1  5  7   5.1  969 210  6.2 3  4.3  76    0    0 264 -331  4
4197500 2677500  1  5  8   5.1  968 208  5.9 5  4.2  74    0    0 278 -330  4
4197500 2677500  1  5  9   5.1  968 200  5.7 5  4.3  74    0    5 286 -328  4
4197500 2677500  1  5 10   6.1  968 199  5.9 8  4.4  74    1   39 297 -329  4
4197500 2677500  1  5 11   6.6  967 151  2.6 7  4.4  71    0   58 310 -333  4
4197500 2677500  1  5 12   6.8  967 190  2.7 7  4.4  69    0   49 304 -336  4
4197500 2677500  1  5 13   6.5  966 161  3.6 7  4.3  68    0   43 301 -338  4
4197500 2677500  1  5 14   6.1  965 150  3.3 7  4.1  66    0   57 298 -338  4
4197500 2677500  1  5 15   6.8  963 170  3.4 7  4.0  63    0   56 297 -339  4
4197500 2677500  1  5 16   6.6  962 190  4.8 8  3.8  60    0    9 311 -339  4
4197500 2677500  1  5 17   5.7  961 199 10.7 7  4.1  66    0    0 313 -339  4
4197500 2677500  1  5 18   5.8  960 202 10.2 8  4.7  77    0    0 316 -340  4
4197500 2677500  1  5 19   6.9  958 211 10.7 8  4.9  79    0    0 332 -342  4
4197500 2677500  1  5 20   8.1  958 221 11.7 7  5.2  77    0    0 327 -343  4
4197500 2677500  1  5 21   7.6  957 222 11.0 8  5.5  79    0    0 329 -345  4
4197500 2677500  1  5 22   8.2  957 221 10.2 8  5.7  81    0    0 341 -347  4
4197500 2677500  1  5 23   8.4  957 221  9.6 8  5.8  81    0    0 343 -348  4
4197500 2677500  1  5 24   8.7  957 220 10.6 8  5.9  80    0    0 342 -350  4
4197500 2677500  1  6  1   8.6  957 221 11.3 8  5.9  80    0    0 342 -353  4
4197500 2677500  1  6  2   9.4  957 220 11.2 8  6.0  79    0    0 343 -356  4
4197500 2677500  1  6  3   9.4  957 219  9.8 8  6.0  77    0    0 343 -358  4
4197500 2677500  1  6  4   9.5  957 219  9.9 8  6.0  77    0    0 343 -359  4
4197500 2677500  1  6  5   9.7  957 217 11.0 8  6.0  77    0    0 343 -358  4
4197500 2677500  1  6  6   9.3  957 223 12.2 8  6.2  79    0    0 343 -357  4
4197500 2677500  1  6  7   9.8  957 219 11.7 8  6.2  79    0    0 341 -354  4
4197500 2677500  1  6  8  10.2  958 218 11.9 8  6.1  76    0    0 340 -349  4
4197500 2677500  1  6  9  10.5  958 230 11.2 8  6.2  75    0    9 339 -344  4
4197500 2677500  1  6 10  10.7  959 228 10.1 7  6.2  74   14   52 333 -340  4
4197500 2677500  1  6 11  10.5  960 248  9.3 5  6.3  75   21   93 316 -339  4
4197500 2677500  1  6 12   8.7  961 270  8.6 5  6.2  78   11  105 301 -339  4
4197500 2677500  1  6 13   8.8  963 278  6.7 6  6.0  81   19  121 300 -341  4
4197500 2677500  1  6 14   8.0  965 280  7.2 7  5.3  74    3   87 305 -342  4
4197500 2677500  1  6 15   7.6  965 271  6.3 8  4.8  70    0   35 309 -341  4
4197500 2677500  1  6 16   7.2  966 258  4.4 8  4.8  72    0   13 311 -338  4
4197500 2677500  1  6 17   6.9  968 230  4.5 8  4.7  72    0    0 308 -334  4
4197500 2677500  1  6 18   6.3  969 228  4.6 8  4.7  74    0    0 305 -330  4
4197500 2677500  1  6 19   6.4  970 225  4.1 8  4.7  75    0    0 304 -327  4
4197500 2677500  1  6 20   5.9  970 225  4.7 8  4.6  76    0    0 305 -326  4
4197500 2677500  1  6 21   5.7  970 227  4.2 7  4.6  76    0    0 300 -324  4
4197500 2677500  1  6 22   5.5  970 218  4.9 7  4.6  78    0    0 294 -324  4
4197500 2677500  1  6 23   5.6  970 227  5.6 7  4.6  79    0    0 295 -324  4
4197500 2677500  1  6 24   5.5  971 230  5.5 8  4.7  80    0    0 302 -324  4
4197500 2677500  1  7  1   5.0  972 228  4.9 7  4.9  84    0    0 302 -324  4
4197500 2677500  1  7  2   4.6  972 218  5.7 7  4.9  88    0    0 297 -325  4
4197500 2677500  1  7  3   4.3  972 227  5.0 7  4.8  89    0    0 297 -324  4
4197500 2677500  1  7  4   4.1  973 228  6.4 8  4.8  90    0    0 304 -324  4
4197500 2677500  1  7  5   4.1  973 230  5.7 7  4.7  89    0    0 305 -324  4
4197500 2677500  1  7  6   3.9  973 241  5.5 7  4.6  88    0    0 298 -325  4
4197500 2677500  1  7  7   4.3  973 241  5.6 7  4.6  86    0    0 298 -325  4
4197500 2677500  1  7  8   4.2  974 241  5.6 8  4.6  86    0    0 307 -325  4
4197500 2677500  1  7  9   4.3  974 228  4.9 8  4.7  87    0    1 314 -327  4
4197500 2677500  1  7 10   4.6  975 229  4.2 8  4.8  88    0   32 315 -328  4
4197500 2677500  1  7 11   5.1  975 236  5.0 7  4.8  87    3   78 310 -332  4
4197500 2677500  1  7 12   5.6  976 238  4.8 6  4.9  85   15  125 298 -337  4
4197500 2677500  1  7 13   5.9  976 231  4.1 7  4.9  83    8  118 300 -341  4
4197500 2677500  1  7 14   6.1  975 225  4.1 7  4.9  80    4   96 306 -342  4
4197500 2677500  1  7 15   6.1  975 248  3.4 7  4.8  78    3   67 306 -341  4
4197500 2677500  1  7 16   5.7  975 193  2.7 8  4.7  79    0   26 311 -338  4
4197500 2677500  1  7 17   5.6  976 206  4.9 7  4.7  80    0    2 311 -332  4
4197500 2677500  1  7 18   5.3  976 207  2.7 8  4.7  80    0    0 311 -327  4
4197500 2677500  1  7 19   5.0  976 201  2.6 8  4.6  81    0    0 316 -324  4
4197500 2677500  1  7 20   4.9  976 219  2.5 8  4.6  81    0    0 314 -322  4
4197500 2677500  1  7 21   4.9  976 212  3.3 7  4.6  82    0    0 308 -321  4
4197500 2677500  1  7 22   4.2  976 226  3.2 8  4.5  83    0    0 306 -321  4
4197500 2677500  1  7 23   4.0  976 229  2.6 8  4.5  85    0    0 311 -322  4
4197500 2677500  1  7 24   3.9  976 230  3.3 8  4.5  86    0    0 310 -322  4
4197500 2677500  1  8  1   3.7  976 236  3.1 8  4.5  86    0    0 310 -322  4
4197500 2677500  1  8  2   3.2  976 255  2.9 7  4.4  87    0    0 303 -321  4
4197500 2677500  1  8  3   3.1  976 223  3.0 7  4.4  89    0    0 295 -323  4
