Koordinatensystem : Lambert konform konisch
Rechtswert        : 3888500 Meter
Hochwert          : 2480500 Meter
Hoehenlage        : 116 Meter ueber NN
Erstellung des Datensatzes im Mai 2016

Art des TRY       : mittleres Jahr
Bezugszeitraum    : 2031-2060
Datenbasis 1      : Beobachtungsdaten Zeitraum 1995-2012
Datenbasis 2      : Klimasimulationen Zeitraum 1971-2000 (Basis RCP-historical / CORDEX-Europa Laeufe)
Datenbasis 3      : Klimasimulationen Zeitraum 2031-2060 (Basis RCP-4.5 und RCP-8.5 / CORDEX-Europa Laeufe)

Format: (i7,1x,i7,1x,i2,1x,i2,1x,i2,1x,f5.1,1x,i4,1x,3i,1x,f4.1,1x,i1,1x,f4.1,1x,i3,1x,i4,1x,i4,1x,i3,1x,i4,2x,i1)

Reihenfolge der Parameter:
RW Rechtswert                                                    [m]       {3670500;3671500..4389500}
HW Hochwert                                                      [m]       {2242500;2243500..3179500}
MM Monat                                                                   {1..12}
DD Tag                                                                     {1..28,30,31}
HH Stunde (MEZ)                                                            {1..24}
t  Lufttemperatur in 2m Hoehe ueber Grund                        [GradC]
p  Luftdruck in Standorthoehe                                    [hPa]
WR Windrichtung in 10 m Hoehe ueber Grund                        [Grad]    {0..360;999}
WG Windgeschwindigkeit in 10 m Hoehe ueber Grund                 [m/s]
N  Bedeckungsgrad                                                [Achtel]  {0..8;9}
x  Wasserdampfgehalt, Mischungsverhaeltnis                       [g/kg]
RF Relative Feuchte in 2 m Hoehe ueber Grund                     [Prozent] {1..100}
B  Direkte Sonnenbestrahlungsstaerke (horiz. Ebene)              [W/m^2]   abwaerts gerichtet: positiv
D  Diffuse Sonnenbetrahlungsstaerke (horiz. Ebene)               [W/m^2]   abwaerts gerichtet: positiv
A  Bestrahlungsstaerke d. atm. Waermestrahlung (horiz. Ebene)    [W/m^2]   abwaerts gerichtet: positiv
E  Bestrahlungsstaerke d. terr. Waermestrahlung                  [W/m^2]   aufwaerts gerichtet: negativ
IL Qualitaetsbit bezueglich der Auswahlkriterien                           {0;1;2;3;4}


     RW      HW MM DD HH     t    p  WR   WG N    x  RF    B    D   A    E IL
*** 
3888500 2480500  1  1  1   6.6 1013 209  4.2 7  5.7  94    0    0 336 -341  2
3888500 2480500  1  1  2   6.3 1013 225  5.0 8  5.7  96    0    0 336 -341  2
3888500 2480500  1  1  3   6.1 1013 233  5.6 8  5.7  97    0    0 336 -341  2
3888500 2480500  1  1  4   6.1 1013 230  5.5 8  5.7  97    0    0 336 -341  2
3888500 2480500  1  1  5   6.2 1013 229  5.2 8  5.7  98    0    0 337 -340  2
3888500 2480500  1  1  6   6.1 1013 215  5.1 8  5.7  97    0    0 337 -340  2
3888500 2480500  1  1  7   6.6 1013 227  4.4 8  5.9  99    0    0 337 -340  2
3888500 2480500  1  1  8   6.7 1013 223  4.9 8  6.1 100    0    0 336 -340  2
3888500 2480500  1  1  9   6.7 1014 214  4.6 8  6.1 100    0    6 336 -340  2
3888500 2480500  1  1 10   7.1 1014 229  3.2 7  6.1  98    8   40 330 -340  2
3888500 2480500  1  1 11   7.6 1014 209  4.2 5  6.1  96   33   75 314 -342  2
3888500 2480500  1  1 12   8.6 1014 213  5.2 3  6.2  93   91   85 293 -345  2
3888500 2480500  1  1 13   9.4 1014 213  5.0 4  6.3  89   48  106 289 -349  2
3888500 2480500  1  1 14   7.5 1013 230  4.2 6  6.3  91    9   90 305 -351  2
3888500 2480500  1  1 15   8.7 1012 238  4.6 6  6.2  93   43   73 315 -350  2
3888500 2480500  1  1 16   7.7 1012 254  4.5 6  6.4  95   23   39 314 -348  2
3888500 2480500  1  1 17   6.6 1011 222  4.3 6  6.3 100    0    6 311 -346  2
3888500 2480500  1  1 18   7.0 1011 234  4.0 6  6.1  99    0    0 310 -344  2
3888500 2480500  1  1 19   7.2 1011 221  4.7 7  6.1  97    0    0 318 -344  2
3888500 2480500  1  1 20   7.7 1010 216  5.2 7  6.3  98    0    0 326 -345  2
3888500 2480500  1  1 21   8.1 1010 199  7.6 8  6.5  98    0    0 336 -346  2
3888500 2480500  1  1 22   8.5 1009 214  6.4 8  6.6  96    0    0 345 -347  2
3888500 2480500  1  1 23   8.9 1008 221  6.9 8  6.5  93    0    0 346 -348  2
3888500 2480500  1  1 24   9.2 1007 229  7.4 8  6.5  90    0    0 347 -348  2
3888500 2480500  1  2  1   8.5 1006 222  7.2 7  6.6  93    0    0 339 -349  2
3888500 2480500  1  2  2   8.6 1006 229  8.7 8  6.9  98    0    0 337 -351  2
3888500 2480500  1  2  3   8.4 1005 226  7.6 7  6.9  98    0    0 336 -352  2
3888500 2480500  1  2  4   8.4 1005 221  7.1 7  6.7  97    0    0 328 -352  2
3888500 2480500  1  2  5   9.0 1004 220  7.7 8  6.9  97    0    0 336 -353  2
3888500 2480500  1  2  6   8.5 1004 239  9.1 7  7.0  98    0    0 336 -353  2
3888500 2480500  1  2  7   7.3 1005 244  6.9 8  6.6  98    0    0 332 -353  2
3888500 2480500  1  2  8   7.3 1006 275  5.1 8  6.3  97    0    0 332 -353  2
3888500 2480500  1  2  9   7.1 1007 259  5.7 7  6.2  97    0    0 324 -351  2
3888500 2480500  1  2 10   7.3 1008 253  6.6 6  5.9  93    4   45 311 -347  2
3888500 2480500  1  2 11   6.9 1009 244  6.5 6  5.7  90    1   70 305 -344  2
3888500 2480500  1  2 12   6.9 1010 255  7.5 7  5.2  84    0   49 306 -343  2
3888500 2480500  1  2 13   6.7 1010 255  6.3 7  4.8  78    0   31 308 -343  2
3888500 2480500  1  2 14   6.6 1010 260  6.3 7  4.6  75    0   49 304 -341  2
3888500 2480500  1  2 15   6.5 1011 245  6.2 6  4.4  72    7   78 296 -338  2
3888500 2480500  1  2 16   5.6 1011 249  6.6 5  4.1  70   33   51 282 -333  2
3888500 2480500  1  2 17   4.6 1012 246  5.7 4  3.9  71    1   11 269 -327  2
3888500 2480500  1  2 18   4.0 1012 238  4.8 3  3.9  75    0    0 256 -323  2
3888500 2480500  1  2 19   3.7 1013 224  5.4 3  4.0  80    0    0 248 -320  2
3888500 2480500  1  2 20   3.8 1014 220  5.5 3  4.2  84    0    0 248 -318  2
3888500 2480500  1  2 21   3.4 1014 221  5.8 1  4.2  85    0    0 238 -316  2
3888500 2480500  1  2 22   3.5 1015 225  6.6 2  4.2  86    0    0 233 -316  2
3888500 2480500  1  2 23   2.7 1015 227  5.0 2  4.2  89    0    0 237 -316  2
3888500 2480500  1  2 24   2.9 1016 225  5.1 2  4.2  92    0    0 236 -316  2
3888500 2480500  1  3  1   3.5 1016 224  5.7 6  4.4  92    0    0 256 -316  2
3888500 2480500  1  3  2   3.5 1017 231  5.9 7  4.5  94    0    0 280 -316  2
3888500 2480500  1  3  3   2.8 1017 235  6.0 8  4.6  97    0    0 291 -316  2
3888500 2480500  1  3  4   2.8 1017 233  5.5 8  4.6 100    0    0 298 -316  2
3888500 2480500  1  3  5   2.7 1018 231  5.5 7  4.6 100    0    0 296 -317  2
3888500 2480500  1  3  6   2.8 1018 231  6.2 7  4.6 100    0    0 293 -318  2
3888500 2480500  1  3  7   3.0 1018 237  6.2 7  4.6  99    0    0 295 -319  2
3888500 2480500  1  3  8   3.3 1019 227  6.6 7  4.6  97    0    0 296 -320  2
3888500 2480500  1  3  9   3.6 1019 227  6.9 6  4.7  96    0    3 293 -320  2
3888500 2480500  1  3 10   4.0 1020 227  7.3 6  4.7  94    0   32 289 -321  2
3888500 2480500  1  3 11   4.4 1020 234  6.7 7  4.7  92    5   68 297 -323  2
3888500 2480500  1  3 12   4.9 1021 233  7.7 8  4.7  90    0   78 312 -325  2
3888500 2480500  1  3 13   5.2 1021 229  8.2 8  4.7  88    1   88 319 -327  2
3888500 2480500  1  3 14   5.3 1020 229  7.0 8  4.7  86    6   90 319 -329  2
3888500 2480500  1  3 15   5.6 1021 236  6.9 8  4.7  85    0   43 320 -329  2
3888500 2480500  1  3 16   5.8 1020 224  7.3 8  4.7  82    0   16 320 -330  2
3888500 2480500  1  3 17   5.7 1020 219  6.3 8  4.6  81    0    1 321 -329  2
3888500 2480500  1  3 18   5.5 1020 227  6.0 8  4.7  83    0    0 323 -329  2
3888500 2480500  1  3 19   5.3 1020 220  6.9 8  4.7  84    0    0 323 -330  2
3888500 2480500  1  3 20   5.4 1021 217  6.6 8  4.6  84    0    0 325 -330  2
3888500 2480500  1  3 21   4.8 1021 224  7.7 7  4.7  88    0    0 321 -330  2
3888500 2480500  1  3 22   4.9 1021 216  6.3 8  4.8  90    0    0 320 -331  2
3888500 2480500  1  3 23   5.0 1021 216  6.7 8  4.8  89    0    0 326 -331  2
3888500 2480500  1  3 24   4.5 1021 222  7.4 7  5.0  94    0    0 319 -331  2
3888500 2480500  1  4  1   4.5 1021 216  7.4 8  5.2  99    0    0 317 -331  2
3888500 2480500  1  4  2   4.6 1020 221  7.0 8  5.2  99    0    0 322 -331  2
