Koordinatensystem : Lambert konform konisch
Rechtswert        : 3844500 Meter
Hochwert          : 2371500 Meter
Hoehenlage        : 272 Meter ueber NN
Erstellung des Datensatzes im Mai 2016

Art des TRY       : mittleres Jahr
Bezugszeitraum    : 1995-2012
Datenbasis        : Beobachtungsdaten Zeitraum 1995-2012

Format: (i7,1x,i7,1x,i2,1x,i2,1x,i2,1x,f5.1,1x,i4,1x,3i,1x,f4.1,1x,i1,1x,f4.1,1x,i3,1x,i4,1x,i4,1x,i3,1x,i4,2x,i1)

Reihenfolge der Parameter:
RW Rechtswert                                                    [m]       {3670500;3671500..4389500}
HW Hochwert                                                      [m]       {2242500;2243500..3179500}
MM Monat                                                                   {1..12}
DD Tag                                                                     {1..28,30,31}
HH Stunde (MEZ)                                                            {1..24}
t  Lufttemperatur in 2m Hoehe ueber Grund                        [GradC]
p  Luftdruck in Standorthoehe                                    [hPa]
WR Windrichtung in 10 m Hoehe ueber Grund                        [Grad]    {0..360;999}
WG Windgeschwindigkeit in 10 m Hoehe ueber Grund                 [m/s]
N  Bedeckungsgrad                                                [Achtel]  {0..8;9}
x  Wasserdampfgehalt, Mischungsverhaeltnis                       [g/kg]
RF Relative Feuchte in 2 m Hoehe ueber Grund                     [Prozent] {1..100}
B  Direkte Sonnenbestrahlungsstaerke (horiz. Ebene)              [W/m^2]   abwaerts gerichtet: positiv
D  Diffuse Sonnenbetrahlungsstaerke (horiz. Ebene)               [W/m^2]   abwaerts gerichtet: positiv
A  Bestrahlungsstaerke d. atm. Waermestrahlung (horiz. Ebene)    [W/m^2]   abwaerts gerichtet: positiv
E  Bestrahlungsstaerke d. terr. Waermestrahlung                  [W/m^2]   aufwaerts gerichtet: negativ
IL Qualitaetsbit bezueglich der Auswahlkriterien                           {0;1;2;3;4}


     RW      HW MM DD HH     t    p  WR   WG N    x  RF    B    D   A    E IL
*** 
3844500 2371500  1  1  1   0.4  970 228  1.8 7  3.6  90    0    0 316 -326  3
3844500 2371500  1  1  2   0.5  970 236  1.4 8  3.8  93    0    0 316 -325  3
3844500 2371500  1  1  3   0.5  970 218  0.9 8  3.9  96    0    0 316 -325  3
3844500 2371500  1  1  4   0.5  970 204  0.9 8  3.9  96    0    0 315 -324  3
3844500 2371500  1  1  5   0.5  970 181  0.8 7  3.9  95    0    0 308 -324  3
3844500 2371500  1  1  6   0.4  971 146  0.5 6  3.9  95    0    0 294 -324  3
3844500 2371500  1  1  7   0.6  971 256  0.3 8  3.9  95    0    0 301 -327  3
3844500 2371500  1  1  8   0.9  971 207  0.4 7  4.0  95    0    0 307 -327  3
3844500 2371500  1  1  9   0.9  971  18  1.0 7  4.0  95    0    8 300 -322  3
3844500 2371500  1  1 10   1.3  971  41  1.3 7  4.1  95    5   48 299 -321  3
3844500 2371500  1  1 11   1.1  971  48  1.0 3  4.1  95    7   81 273 -327  3
3844500 2371500  1  1 12   1.3  971  22  1.0 5  4.1  95    3  102 260 -336  3
3844500 2371500  1  1 13   1.5  970 303  0.7 4  4.2  95    3  107 267 -342  3
3844500 2371500  1  1 14   1.9  970 240  1.3 4  4.3  95    3  100 263 -346  3
3844500 2371500  1  1 15   1.8  969 249  2.0 5  4.3  96   19   85 269 -347  3
3844500 2371500  1  1 16   1.3  969 226  2.2 7  4.3  96   27   41 283 -346  3
3844500 2371500  1  1 17   1.0  969 239  1.1 7  4.1  96    1   11 291 -343  3
3844500 2371500  1  1 18   0.8  970 204  2.3 8  4.2  98    0    0 296 -339  3
3844500 2371500  1  1 19   0.7  970 271  0.7 8  4.2 100    0    0 301 -337  3
3844500 2371500  1  1 20   0.5  970  55  0.8 8  4.1 100    0    0 302 -334  3
3844500 2371500  1  1 21   0.3  970   3  0.9 8  4.0  99    0    0 302 -332  3
3844500 2371500  1  1 22   0.1  970  57  1.3 8  3.9  97    0    0 301 -331  3
3844500 2371500  1  1 23   0.2  970  71  0.8 8  3.9  97    0    0 302 -329  3
3844500 2371500  1  1 24   0.3  971  35  0.9 6  3.9  96    0    0 292 -327  3
3844500 2371500  1  2  1   0.2  971  45  1.3 7  3.9  97    0    0 287 -326  3
3844500 2371500  1  2  2   0.3  971  54  0.8 7  3.9  97    0    0 292 -326  3
3844500 2371500  1  2  3   0.6  971  14  1.2 8  3.9  96    0    0 298 -326  3
3844500 2371500  1  2  4   0.6  972  70  1.1 7  4.0  96    0    0 298 -325  3
3844500 2371500  1  2  5   0.7  972 352  1.4 7  4.0  96    0    0 293 -325  3
3844500 2371500  1  2  6   0.5  972 283  1.9 6  4.0  96    0    0 287 -324  3
3844500 2371500  1  2  7   0.5  973 297  1.4 7  4.0  96    0    0 286 -322  3
3844500 2371500  1  2  8   0.7  973 360  0.9 6  4.1  98    0    0 287 -320  3
