Koordinatensystem : Lambert konform konisch
Rechtswert        : 3844500 Meter
Hochwert          : 2371500 Meter
Hoehenlage        : 272 Meter ueber NN
Erstellung des Datensatzes im Mai 2016

Art des TRY       : mittleres Jahr
Bezugszeitraum    : 2031-2060
Datenbasis 1      : Beobachtungsdaten Zeitraum 1995-2012
Datenbasis 2      : Klimasimulationen Zeitraum 1971-2000 (Basis RCP-historical / CORDEX-Europa Laeufe)
Datenbasis 3      : Klimasimulationen Zeitraum 2031-2060 (Basis RCP-4.5 und RCP-8.5 / CORDEX-Europa Laeufe)

Format: (i7,1x,i7,1x,i2,1x,i2,1x,i2,1x,f5.1,1x,i4,1x,3i,1x,f4.1,1x,i1,1x,f4.1,1x,i3,1x,i4,1x,i4,1x,i3,1x,i4,2x,i1)

Reihenfolge der Parameter:
RW Rechtswert                                                    [m]       {3670500;3671500..4389500}
HW Hochwert                                                      [m]       {2242500;2243500..3179500}
MM Monat                                                                   {1..12}
DD Tag                                                                     {1..28,30,31}
HH Stunde (MEZ)                                                            {1..24}
t  Lufttemperatur in 2m Hoehe ueber Grund                        [GradC]
p  Luftdruck in Standorthoehe                                    [hPa]
WR Windrichtung in 10 m Hoehe ueber Grund                        [Grad]    {0..360;999}
WG Windgeschwindigkeit in 10 m Hoehe ueber Grund                 [m/s]
N  Bedeckungsgrad                                                [Achtel]  {0..8;9}
x  Wasserdampfgehalt, Mischungsverhaeltnis                       [g/kg]
RF Relative Feuchte in 2 m Hoehe ueber Grund                     [Prozent] {1..100}
B  Direkte Sonnenbestrahlungsstaerke (horiz. Ebene)              [W/m^2]   abwaerts gerichtet: positiv
D  Diffuse Sonnenbetrahlungsstaerke (horiz. Ebene)               [W/m^2]   abwaerts gerichtet: positiv
A  Bestrahlungsstaerke d. atm. Waermestrahlung (horiz. Ebene)    [W/m^2]   abwaerts gerichtet: positiv
E  Bestrahlungsstaerke d. terr. Waermestrahlung                  [W/m^2]   aufwaerts gerichtet: negativ
IL Qualitaetsbit bezueglich der Auswahlkriterien                           {0;1;2;3;4}


     RW      HW MM DD HH     t    p  WR   WG N    x  RF    B    D   A    E IL
*** 
3844500 2371500  1  1  1   6.9  986 196  4.8 7  6.1  91    0    0 344 -357  1
3844500 2371500  1  1  2   9.5  986 209  6.2 8  6.9  89    0    0 343 -357  1
3844500 2371500  1  1  3  11.3  986 205  7.5 8  7.5  88    0    0 349 -359  1
3844500 2371500  1  1  4  11.5  986 213  7.5 8  7.5  87    0    0 357 -360  1
3844500 2371500  1  1  5  11.6  986 221  7.7 8  7.5  86    0    0 358 -361  1
3844500 2371500  1  1  6  11.8  986 233  7.3 6  7.5  86    0    0 343 -362  1
3844500 2371500  1  1  7  11.8  986 230  8.5 8  7.4  84    0    0 344 -363  1
3844500 2371500  1  1  8  11.9  987 213  7.5 8  7.5  84    0    0 360 -364  1
3844500 2371500  1  1  9  12.3  987 212  7.7 8  7.5  83    0    0 362 -365  1
3844500 2371500  1  1 10  12.4  987 214  8.7 8  7.5  82    0   36 362 -365  1
3844500 2371500  1  1 11  12.5  987 208  8.6 8  7.6  82    0   60 362 -366  1
3844500 2371500  1  1 12  12.5  988 208  7.5 8  7.6  81    0   47 361 -368  1
3844500 2371500  1  1 13  12.6  987 211  7.0 8  7.6  82    0   54 362 -369  1
3844500 2371500  1  1 14  12.6  987 204  6.7 8  7.7  82    0   60 362 -369  1
3844500 2371500  1  1 15  12.8  986 219  5.1 7  7.7  82   10   84 353 -370  1
3844500 2371500  1  1 16  12.8  986 216  7.2 6  7.7  81    6   44 337 -370  1
3844500 2371500  1  1 17  12.2  985 227  6.6 4  7.6  82    0    4 311 -369  1
3844500 2371500  1  1 18  12.6  986 217  7.8 5  7.5  81    0    0 300 -368  1
3844500 2371500  1  1 19  12.9  986 219  7.7 6  7.3  77    0    0 317 -367  1
3844500 2371500  1  1 20  13.1  985 213  7.7 8  7.2  75    0    0 341 -366  1
3844500 2371500  1  1 21  13.0  985 212  7.6 8  7.2  75    0    0 356 -364  1
3844500 2371500  1  1 22  13.4  985 212  6.7 7  7.2  74    0    0 345 -363  1
3844500 2371500  1  1 23  12.9  984 225  4.7 8  7.1  73    0    0 344 -362  1
3844500 2371500  1  1 24  11.6  984 219  4.4 6  6.9  75    0    0 332 -361  1
3844500 2371500  1  2  1  13.2  983 210  5.2 5  6.6  72    0    0 307 -361  1
3844500 2371500  1  2  2  13.9  982 212  7.4 8  6.5  65    0    0 326 -361  1
3844500 2371500  1  2  3  13.6  982 226  7.0 8  6.6  65    0    0 350 -361  1
3844500 2371500  1  2  4  13.1  981 220  6.7 8  6.6  67    0    0 348 -360  1
3844500 2371500  1  2  5  12.8  981 222  7.2 8  6.6  68    0    0 347 -359  1
3844500 2371500  1  2  6  12.7  980 220  6.4 6  6.5  69    0    0 330 -359  1
3844500 2371500  1  2  7  12.2  980 217  5.0 7  6.5  70    0    0 318 -359  1
3844500 2371500  1  2  8  11.7  979 212  6.4 7  6.5  73    0    0 322 -358  1
3844500 2371500  1  2  9  11.3  979 211  6.7 8  6.9  79    0    3 331 -358  1
