Koordinatensystem : Lambert konform konisch
Rechtswert        : 3844500 Meter
Hochwert          : 2371500 Meter
Hoehenlage        : 272 Meter ueber NN
Erstellung des Datensatzes im Mai 2016

Art des TRY       : extremer Sommer
Bezugszeitraum    : 1995-2012
Datenbasis        : Beobachtungsdaten Zeitraum 1995-2012

Format: (i7,1x,i7,1x,i2,1x,i2,1x,i2,1x,f5.1,1x,i4,1x,3i,1x,f4.1,1x,i1,1x,f4.1,1x,i3,1x,i4,1x,i4,1x,i3,1x,i4,2x,i1)

Reihenfolge der Parameter:
RW Rechtswert                                                    [m]       {3670500;3671500..4389500}
HW Hochwert                                                      [m]       {2242500;2243500..3179500}
MM Monat                                                                   {1..12}
DD Tag                                                                     {1..28,30,31}
HH Stunde (MEZ)                                                            {1..24}
t  Lufttemperatur in 2m Hoehe ueber Grund                        [GradC]
p  Luftdruck in Standorthoehe                                    [hPa]
WR Windrichtung in 10 m Hoehe ueber Grund                        [Grad]    {0..360;999}
WG Windgeschwindigkeit in 10 m Hoehe ueber Grund                 [m/s]
N  Bedeckungsgrad                                                [Achtel]  {0..8;9}
x  Wasserdampfgehalt, Mischungsverhaeltnis                       [g/kg]
RF Relative Feuchte in 2 m Hoehe ueber Grund                     [Prozent] {1..100}
B  Direkte Sonnenbestrahlungsstaerke (horiz. Ebene)              [W/m^2]   abwaerts gerichtet: positiv
D  Diffuse Sonnenbetrahlungsstaerke (horiz. Ebene)               [W/m^2]   abwaerts gerichtet: positiv
A  Bestrahlungsstaerke d. atm. Waermestrahlung (horiz. Ebene)    [W/m^2]   abwaerts gerichtet: positiv
E  Bestrahlungsstaerke d. terr. Waermestrahlung                  [W/m^2]   aufwaerts gerichtet: negativ
IL Qualitaetsbit bezueglich der Auswahlkriterien                           {0;1;2;3;4}


     RW      HW MM DD HH     t    p  WR   WG N    x  RF    B    D   A    E IL
*** 
3844500 2371500  1  1  1   8.9  971 207  6.4 8  5.5  75    0    0 329 -336  0
3844500 2371500  1  1  2   7.0  971 206  5.7 8  5.2  80    0    0 330 -336  0
3844500 2371500  1  1  3   5.5  971 211  5.0 8  4.9  82    0    0 328 -336  0
3844500 2371500  1  1  4   5.1  971 216  5.1 8  4.8  83    0    0 325 -335  0
3844500 2371500  1  1  5   4.7  972 218  5.5 8  4.6  82    0    0 322 -334  0
3844500 2371500  1  1  6   4.5  973 206  5.9 7  4.5  82    0    0 313 -332  0
3844500 2371500  1  1  7   4.3  973 202  6.5 7  4.4  81    0    0 302 -332  0
3844500 2371500  1  1  8   4.1  973 202  6.1 7  4.3  80    0    0 301 -331  0
3844500 2371500  1  1  9   4.4  974 194  5.1 8  4.2  79    0    0 311 -330  0
3844500 2371500  1  1 10   5.1  974 193  6.5 7  4.2  77    1   54 312 -329  0
3844500 2371500  1  1 11   5.6  975 210  5.5 6  4.2  72    3   86 295 -330  0
3844500 2371500  1  1 12   6.1  975 201  5.5 5  4.1  68   15  126 279 -332  0
3844500 2371500  1  1 13   6.6  975 206  5.4 4  3.9  64   71  141 268 -334  0
3844500 2371500  1  1 14   7.6  974 204  5.4 4  3.8  59  138  107 268 -335  0
3844500 2371500  1  1 15   7.6  973 180  5.2 5  3.7  55   76   85 277 -335  0
3844500 2371500  1  1 16   7.2  973 192  3.8 5  3.7  56    4   41 282 -331  0
3844500 2371500  1  1 17   6.8  973 162  3.2 7  3.8  58    0    0 295 -326  0
3844500 2371500  1  1 18   6.1  974 160  3.2 6  3.9  62    0    0 301 -321  0
3844500 2371500  1  1 19   5.6  974 149  2.8 7  4.0  68    0    0 300 -318  0
3844500 2371500  1  1 20   5.6  975 144  2.1 7  4.1  70    0    0 308 -318  0
3844500 2371500  1  1 21   5.3  975 134  1.4 7  4.2  73    0    0 309 -319  0
3844500 2371500  1  1 22   4.9  976 107  1.6 8  4.4  78    0    0 315 -321  0
3844500 2371500  1  1 23   4.7  976 101  1.9 8  4.5  82    0    0 322 -321  0
3844500 2371500  1  1 24   4.4  977   7  2.1 8  4.5  82    0    0 321 -320  0
3844500 2371500  1  2  1   4.3  977 219  1.8 8  4.5  83    0    0 320 -320  0
3844500 2371500  1  2  2   4.0  978 242  1.2 8  4.5  85    0    0 319 -319  0
3844500 2371500  1  2  3   4.0  978 107  0.0 8  4.5  86    0    0 318 -318  0
3844500 2371500  1  2  4   3.7  979 108  1.4 8  4.5  87    0    0 317 -318  0
3844500 2371500  1  2  5   3.9  980   7  1.2 8  4.5  88    0    0 316 -318  0
3844500 2371500  1  2  6   3.7  980   1  1.5 7  4.5  87    0    0 306 -318  0
3844500 2371500  1  2  7   3.8  981  85  1.4 8  4.5  87    0    0 306 -318  0
3844500 2371500  1  2  8   3.4  982  63  2.3 8  4.5  88    0    0 315 -318  0
3844500 2371500  1  2  9   3.2  983  39  1.9 8  4.5  90    0    0 314 -318  0
3844500 2371500  1  2 10   3.3  984  56  2.0 7  4.5  90    5   72 304 -317  0
3844500 2371500  1  2 11   3.5  985  42  2.3 6  4.5  90   10  118 287 -318  0
3844500 2371500  1  2 12   4.3  985  48  1.1 5  4.6  88   23  161 276 -319  0
3844500 2371500  1  2 13   4.1  986  55  2.1 6  4.6  87    4  131 278 -321  0
3844500 2371500  1  2 14   4.6  986  32  3.2 6  4.6  86    0   91 285 -325  0
3844500 2371500  1  2 15   4.8  987  32  2.5 7  4.6  84    0   44 293 -328  0
3844500 2371500  1  2 16   4.6  987  27  2.2 8  4.5  83    0   16 305 -327  0
3844500 2371500  1  2 17   4.1  988  53  2.2 8  4.4  84    0    1 310 -324  0
3844500 2371500  1  2 18   4.1  989 114  2.3 8  4.4  84    0    0 308 -321  0
